,Company,Job,Location,Salary,Sponsored
1614,"

    Amazon Corporate LLC",Principal Research Scientist- Relocation Opportunity,United States,,True
1615,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1616,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1617,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1618,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1619,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1620,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1621,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1622,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1623,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1624,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1625,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1626,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1627,"

    Amazon Web Services, Inc.","Principal Research Scientist, Forecasting and Optimization-...",United States,,True
1628,"

    Amazon Corporate LLC",Principal Research Scientist- Relocation Opportunity,United States,,True
1629,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1630,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1631,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1632,"


    Amazon Corporate LLC
",Data Engineer,"Seattle, WA",,False
1633,"


    AMZN wacs LLC
","Data Engineer, Digital and Device Customer Service","Seattle, WA",,False
1634,"


    Seattle Children's Hospital
",Data Analyst Sr,"Seattle, WA 98101 (Downtown area)",,False
1635,"


    Microsoft
",Principal Data and Applied Scientist,"Redmond, WA 98052",,False
1636,"


    Amazon Corporate LLC
",Machine Learning Scientist,"Seattle, WA",,False
1637,"


    Microsoft
",Senior Data & Applied Scientist,"Redmond, WA 98052",,False
1638,"


    T-Mobile
",Principal Data Scientist,"Bellevue, WA",,False
1639,"

    Sage Bionetworks
","Scientist and Senior Scientist, Computational Oncology","Seattle, WA",,False
1640,"


    Microsoft
",Senior Data Scientist,"Redmond, WA 98052",,False
1641,"

    Brilliance Publishing
",Research Scientist,"Seattle, WA",,False
1642,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1643,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1644,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1645,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1646,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1647,"

    Adaptive Biotechnologies
",Production Associate,"Seattle, WA 98102 (Capitol Hill area)",,False
1648,"


    University of Washington
",RESEARCH SCIENTIST/ENGINEER 2,"Seattle, WA",,False
1649,"

    Prime Team Partners
",Data Scientist,"Seattle, WA 98119 (Queen Anne area)","[<nobr>$150,000 a year</nobr>]",False
1650,"


    Amazon Corporate LLC
",Sr. Data Scientist,"Seattle, WA",,False
1651,"


    General Assembly
",Part-time Data Science Instructor,"Seattle, WA 98121 (Belltown area)",,False
1652,"

    Adaptive Biotechnologies
",Research Scientist,"Seattle, WA 98102 (Capitol Hill area)",,False
1653,"


    Biorad
",Scientist or Senior Scientist,"Woodinville, WA",,False
1654,"


    Bio-Rad, Inc.
",Scientist or Senior Scientist,"Woodinville, WA",,False
1655,"


    Amazon Corporate LLC
",Sr. Business Analyst,"Seattle, WA",,False
1656,"


    The Climate Corporation
",Quantitative Researcher: Disease Risk Modeling,"Seattle, WA",,False
1657,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1658,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1659,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1660,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1661,"


    Fred Hutchinson Cancer Research Center
","Unit Head, Data Analytics Unit","Seattle, WA 98109 (Westlake area)",,False
1662,"


    Google
","Engineering Resident, University Graduate (Fixed Term Employ...","Seattle, WA",,False
1663,"

    American IT Resource Group Inc
",Data Scientist,"Redmond, WA",[<nobr>$55 an hour</nobr>],False
1664,"

    Nintendo of America Inc.
",Principal Data Scientist,"Redmond, WA",,False
1665,"


    Getty Images
",Senior Big Data Engineer,"Seattle, WA 98103 (Green Lake - Wallingford area)",,False
1666,"


    Seattle Children's Hospital
","Data Engineer, Senior / Lead","Seattle, WA 98101 (Downtown area)",,False
1667,"


    BOEING
",BCA Analytics – Data Science Manager,"Tukwila, WA",,False
1668,"

    Galvanize
","Lead Instructor, Principal Data Scientist","Seattle, WA",,False
1669,"


    Seattle Genetics
",Statistical Programmer II,"Bothell, WA 98021",,False
1670,"


    Amazon Corporate LLC
",Business Analyst,"Seattle, WA",,False
1671,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1672,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1673,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1674,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1675,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1676,"


    Benaroya Research Institute
",Staff Scientist,"Seattle, WA",,False
1677,"

    Brilliance Publishing
","Applied Scientist, Information Retrieval - AWS","Seattle, WA",,False
1678,"


    Microsoft
",Senior Software Engineer,"Redmond, WA 98052",,False
1679,"


    Nordstrom
",Senior Data Scientist,"Seattle, WA",,False
1680,"

    All-In Analytics
",Digital Data Scientist,"Seattle, WA","[<nobr>$150,000 - $230,000 a year</nobr>]",False
1681,"

    Juno Therapeutics
",Raw Material Group Scientist,"Seattle, WA",,False
1682,"

    Third Eye Consulting Services & Solutions LLC.
",Sr. Big Data Developer,"Seattle, WA",,False
1683,"


    Porch
",Senior Data Scientist,"Seattle, WA",,False
1684,"


    CMC Biologics
",Principal Scientist,"Bothell, WA",,False
1685,"


    Starbucks
","data analytics/scientist manager, Operations Innovation – Se...","Seattle, WA 98199 (Magnolia area)",,False
1686,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1687,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1688,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1689,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1690,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1691,"


    University of Washington Medical Center
",CLINICAL INFORMATICS ANALYST (CERNER; NIGHT SHIFT),"Seattle, WA",,False
1692,"


    Harvey Nash USA
",Data Science Engineer,"Seattle, WA","[<nobr>$135,000 a year</nobr>]",False
1693,"


    Microsoft
",Principal Data Scientist,"Redmond, WA 98052",,False
1694,"

    Z2 DataLabs
",Part-time Data Science Instructor,"Redmond, WA",,False
1695,"


    Amazon Corporate LLC
",Applied Scientist,"Seattle, WA",,False
1696,"


    Epic Games
",Senior Statistical Data Analyst,"Bellevue, WA",,False
1697,"


    Seattle Children's Hospital
",Research Scientist (CIIT),"Seattle, WA 98101 (Downtown area)",,False
1698,"


    CDK Global
",Senior Software Engineer,"Seattle, WA",,False
1699,"


    SDL
",Senior Data Scientist,"Seattle, WA 98199 (Magnolia area)",,False
1700,"

    Brilliance Publishing
",Senior Data Scientist - AWS Identity & Access,"Seattle, WA",,False
1701,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1702,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1703,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1704,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1705,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1706,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1707,"


    Expedia
",Data Scientist I,"Bellevue, WA 98004 (Downtown area)",,False
1708,"


    Amazon Fulfillment Services, Inc.
","Sr. Data Scientist, Amazon Global Selling","Seattle, WA",,False
1709,"


    University of Washington
","BUSINESS SYSTEMS INTEGRATION ANALYST, EBE/CE","Seattle, WA",,False
1710,"

    HTA
",Research Scientist,"Bellevue, WA",,False
1711,"


    Seattle Children's Hospital
",Postdoc / Research Scientist (BTCCCR),"Seattle, WA 98101 (Downtown area)",,False
1712,"


    Facebook
","Technical Program Manager, Ads Machine Learning","Seattle, WA",,False
1713,"

    Pullskill Technologies
",Data Scientist (Software Engineering),"Seattle, WA","[<nobr>$120,000 a year</nobr>]",False
1714,"

    Neal Analytics
",Data Engineer,"Bellevue, WA",,False
1715,"


    Facebook
","Computer Vision Research Scientist, Interaction and Tracking...","Redmond, WA",,False
1716,"


    University of Washington
",FDA: RESEARCH ANALYST 3 (TEMPORARY),"Seattle, WA","[<nobr>$3,477 - $4,560 a month</nobr>]",False
1717,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1718,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1719,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1720,"

    Penn Schoen Berland",Market Research Analyst,"Bellevue, WA",,True
1721,"


    Amazon Corporate LLC
",Research Scientist,"Seattle, WA",,False
1722,"


    Emergent BioSolutions
",Senior scientist,"Seattle, WA",,False
1723,"


    Whitepages
",Data Engineer,"Seattle, WA",,False
1724,"


    Swedish Medical Center - Seattle, WA
",Institutional Review Board Analyst - Research,"Seattle, WA 98194 (Downtown area)",,False
1725,"


    Ipsos North America
",Entry Level Research Analyst - Loyalty,"Bellevue, WA",,False
1726,"

    Businessolver
",Machine Learning Engineer,"Seattle, WA",,False
1727,"


    Amazon Corporate LLC
","Data Engineer, Amazon Payment Products","Seattle, WA",,False
1728,"


    Fred Hutchinson Cancer Research Center
","Intern, Research","Seattle, WA 98109 (Westlake area)",,False
1729,"


    University of Washington Medical Center
","BUSINESS SYSTEMS INTEGRATION ANALYST, EBE/CE","Seattle, WA",,False
1730,"


    Microsoft
","Principal Data Scientist (scala, spark, hive/pig)","Bellevue, WA",,False
1731,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1732,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1733,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1734,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1735,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1736,"


    University of Washington Medical Center
","BUSINESS SYSTEMS INTEGRATION ANALYST, POS PRE-SVC","Seattle, WA",,False
1737,"

    Adaptive Biotechnologies
",Statistical Geneticist,"Seattle, WA 98102 (Capitol Hill area)",,False
1738,"

    OfferUp
",Data Engineer,"Bellevue, WA",,False
1739,"


    T-Mobile
",Sr Data Scientist,"Bellevue, WA",,False
1740,"

    Juno Therapeutics
",Contract Senior Statistical Programmer,"Seattle, WA",,False
1741,"

    SPIN Analytics and Strategy LLC
",Senior Data Analyst,"Seattle, WA",,False
1742,"

    Allen Institute
",Assistant Investigator,"Seattle, WA 98103 (Green Lake - Wallingford area)",,False
1743,"


    Amazon Corporate LLC
",Applied Scientist - Amazon Clicks,"Seattle, WA",,False
1744,"


    Logic20/20
",Machine Learning & Analytics Engineer/Consultant,"Seattle, WA 98115 (Wedgwood area)",,False
1745,"


    Microsoft
",Senior UX Data Scientist,"Redmond, WA 98052",,False
1746,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1747,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1748,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1749,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1750,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1751,"

    The Bill & Melinda Gates Foundation
",Fellow Job,"Seattle, WA",,False
1752,"


    Lab Support
",Research Associate,"Seattle, WA",,False
1753,"


    University of Washington
",RESEARCH STUDY ASSISTANT,"Seattle, WA","[<nobr>$2,502 - $3,304 a month</nobr>]",False
1754,"


    Seattle Children's Hospital
",Research Scientist (CDBRM),"Seattle, WA 98101 (Downtown area)",,False
1755,"


    University of Washington Medical Center
",SUPPLY CHAIN INFORMATICS EDUCATOR,"Seattle, WA",,False
1756,"


    Renton Technical College
",Institutional Research Analyst,"Renton, WA 98056","[<nobr>$3,580 - $5,047 a month</nobr>]",False
1757,"


    University of Washington
",SUPPLY CHAIN INFORMATICS EDUCATOR,"Seattle, WA",,False
1758,"


    University of Washington Medical Center
","DATA ANALYST, GEOSPATIAL ANALYSIS","Seattle, WA",,False
1759,"

    Opera Software ASA
",Senior Data Engineer,"Seattle, WA",,False
1760,"


    Microsoft
","Big Data Engineer / Principal Data Scientist (hadoop, spark,...","Bellevue, WA",,False
1761,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1762,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1763,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1764,"
    Akvelon, Inc.",Data Scientist/Engineer (SS774),"Bellevue, WA",,True
1765,"

    Amazon","Machine Learning Scientist, Personalization","Seattle, WA",,True
1766,"

    Axio Research LLC
",Entry Level Biostatistician,"Seattle, WA 98121 (Belltown area)",,False
1767,"


    Microsoft
","Senior Data Scientist (spark, hadoop, scala)","Bellevue, WA",,False
1768,"

    VALERE Consulting & Recruiting
",UX Research Analyst (2997),"Seattle, WA",,False
1769,"


    Fred Hutchinson Cancer Research Center
",Project Manager II,"Seattle, WA 98109 (Westlake area)",,False
1770,"


    Covance
",Senior Bioinformatics Analyst,"Seattle, WA",,False
1771,"


    zulily
","Software Engineer II, Machine Learning & Personalization","Seattle, WA 98121 (Belltown area)",,False
1772,"


    Amazon Corporate LLC
",Research Scientst,"Seattle, WA",,False
1773,"


    Microsoft
",Principal Scientist - Computer Vision,"Redmond, WA 98052",,False
1774,"


    Amazon Corporate LLC
",Research Scientist - Amazon Clicks,"Seattle, WA",,False
1775,"

    Bryant Christie Inc.
",International Trade Regulatory Research Analyst - Seattle Of...,"Seattle, WA 98101 (Downtown area)",,False
1776,"

    Parexel International",Senior Statistical Programmer (Home Based),"Seattle, WA",,True
1777,"

    Efinancial",Technical Data Specialist - Business Intelligence/Analysis,"Bellevue, WA",,True
1778,"
    ProCogia",Data Scientist,"Bellevue, WA",,True
1779,"

    Indeed",Data Scientist,"Austin, TX",,True
1780,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1781,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1782,"


    IBM
",Worldwide CoC Team – Data Scientist and Senior Strategy Cons...,"Austin, TX",,False
1783,"

    Spredfast
",Research and Insights Senior Analyst,"Austin, TX 78701 (Downtown area)",,False
1784,"

    TechTank Staffing & Consulting Solutions
",Data Scientist Programmer/Specialist,"Austin, TX 78729","[<nobr>$140,000 a year</nobr>]",False
1785,"


    University of Texas at Austin
",Research Scientist,"Austin, TX","[<nobr>$8,333 a month</nobr>]",False
1786,"


    Roc Search
",Data Scientist - North Austin/80k/Analytics,"Austin, TX","[<nobr>$85,000 a year</nobr>]",False
1787,"


    Windhaven Insurance
",Lead Data Scientist,"Austin, TX",,False
1788,"


    IBM
",Machine Learning R&D Engineer,"Austin, TX",,False
1789,"

    Galvanize
","Instructor, Sr.Data Scientist","Austin, TX",,False
1790,"

    Cognitive Scale
",Research Engineer - Machine Learning,"Austin, TX",,False
1791,"


    HomeAway
",Staff Data Scientist,"Austin, TX 78704 (South Lamar-South Congress area)",,False
1792,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1793,"

    Indeed",Data Engineer,"Austin, TX",,True
1794,"

    Indeed",Data Engineer,"Austin, TX",,True
1795,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1796,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1797,"


    City of Austin
",Chief Forensics Officer,"Austin, TX",[<nobr>$38.60 - $51.01 an hour</nobr>],False
1798,"


    NVIDIA
",Compiler Machine Learning Verification Engineer,"Austin, TX",,False
1799,"


    IBM
",Blue Spark - Watson Cognitive Software Engineer,"Austin, TX",,False
1800,"


    City of Austin
",Corporate Research Analyst,"Austin, TX",[<nobr>$24.36 - $31.56 an hour</nobr>],False
1801,"

    Galvanize
","Lead Instructor, Principal Data Scientist","Austin, TX",,False
1802,"


    Amazon Corporate LLC
","Software Development Engineer, Big Data","Austin, TX 78728",,False
1803,"


    Precision For Value
","Research Scientist, Epidemiology and Statistics, Health Anal...","Austin, TX",,False
1804,"

    Last Word Consulting
",Big Data Architect_W2/1099,"Austin, TX",[<nobr>$65 an hour</nobr>],False
1805,"


    University of Texas at Austin
",Research Associate - R and D Data Scientist,"Austin, TX","[<nobr>$7,083 - $9,166 a month</nobr>]",False
1806,"


    Precision For Value
","Research Scientist, HEOR, Health Analytics","Austin, TX",,False
1807,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1808,"

    Indeed",Data Scientist,"Austin, TX",,True
1809,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1810,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1811,"


    University of Texas at Austin
",Engineering Scientist - R and D Algorithm and System Develop...,"Austin, TX","[<nobr>$6,250 - $10,833 a month</nobr>]",False
1812,"


    University of Texas at Austin
",Research Engineering/ Scientist Associate III,"Austin, TX","[<nobr>$3,519 a month</nobr>]",False
1813,"


    University of Texas at Austin
",Engineering Scientist - GPS Data Analyst,"Austin, TX","[<nobr>$6,250 - $10,833 a month</nobr>]",False
1814,"


    Worldwide Clinical Trials
",Automation Analyst,"Austin, TX",,False
1815,"


    Indeed
",Data Engineer,"Austin, TX 78731",,False
1816,"

    Revionics
",Sr. Optimization Scientist,"Austin, TX",,False
1817,"


    CDK Global
",VP of Sales - Data Services,"Austin, TX",,False
1818,"


    NVIDIA
",Machine Learning for VLSI CAD Engineer,"Austin, TX",,False
1819,"


    University of Texas at Austin
",Engineering Scientist - Geospatial Application Software Deve...,"Austin, TX","[<nobr>$6,250 - $10,833 a month</nobr>]",False
1820,"

    All-In Analytics
",Senior Deep Learning Data Scientist,"Austin, TX","[<nobr>$140,000 - $160,000 a year</nobr>]",False
1821,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1822,"

    Indeed",Data Engineer,"Austin, TX",,True
1823,"

    Indeed",Data Scientist,"Austin, TX",,True
1824,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1825,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1826,"

    Cambia Information Group
",Market Research Analyst,"Austin, TX 78757 (Crestview area)",,False
1827,"


    City of Austin
","MuniProg, Research Analyst (Temp) Paraprofessional","Austin, TX",[<nobr>$21.31 - $27.06 an hour</nobr>],False
1828,"


    Apple
",Workforce Management & Quantitative Planning Analyst,"Austin, TX",,False
1829,"

    Center for Public Policy Priorities
",Research Analyst,"Austin, TX 78752 (St Johns area)",,False
1830,"


    University of Texas at Austin
",Engineering Scientist Associate - R and D Software Developer,"Austin, TX","[<nobr>$5,400 - $6,500 a month</nobr>]",False
1831,"


    KPMG
","Sr Associate Data Scientist, Big Data","Austin, TX 78701 (Downtown area)",,False
1832,"


    University of Texas at Austin
",Research Engineering/ Scientist Associate V - Design Researc...,"Austin, TX","[<nobr>$6,666 a month</nobr>]",False
1833,"

    Andrew Harper LLC
",Research Analyst,"Austin, TX 78701 (Downtown area)",,False
1834,"


    University of Texas at Austin
",Research Engineering/ Scientist Associate IV - Spatial Data...,"Austin, TX","[<nobr>$4,950 - $7,826 a month</nobr>]",False
1835,"


    RetailMeNot, Inc.
","Principal Data Scientist, Attribution","Austin, TX",,False
1836,"

    Indeed",Data Engineer,"Austin, TX",,True
1837,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1838,"

    Indeed",Data Scientist,"Austin, TX",,True
1839,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1840,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1841,"


    IBM
",GBS Watson Health - Senior Data Scientist,"Austin, TX",,False
1842,"


    UT Health Science Center at Houston
",Sr. Statistician - Austin,"Austin, TX",,False
1843,"


    Alcatel-Lucent
",PMO CNO CXS Co-op,"Austin, TX",,False
1844,"

    MaxPoint
",Senior Data Scientist - Geospatial Analytics,"Austin, TX 78759 (Arboretum area)",,False
1845,"


    CCC Information Services Inc.
",Python Developer,"Austin, TX",,False
1846,"


    Amazon Corporate LLC
",Research Scientist,"Austin, TX 78728",,False
1847,"


    Cray
",College Grad-Software Engineer-Analytics,"Austin, TX 78730",,False
1848,"


    EMD
",Senior Scientist,"Round Rock, TX",,False
1849,"


    24 Seven Inc
",Junior Research/QA Analyst (Internet Product),"Austin, TX",[<nobr>$17.99 an hour</nobr>],False
1850,"


    University of Texas at Austin
",Engineering Scientist - Underwater Robotics Algorithm Lead,"Austin, TX","[<nobr>$6,250 - $10,833 a month</nobr>]",False
1851,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1852,"

    Indeed",Data Engineer,"Austin, TX",,True
1853,"

    Indeed",Data Scientist,"Austin, TX",,True
1854,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1855,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1856,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1857,"


    Merck KGaA
",Senior Scientist,"Round Rock, TX",,False
1858,"


    NVIDIA
",Solution Architect (Western Region),"Austin, TX",,False
1859,"


    Lifetime Fitness
",Ultimate Hoops Statistician,"Austin, TX",,False
1860,"

    Bioo Scientific Corp.
",Bioinformatics Analyst – 020,"Austin, TX 78744",,False
1861,"

    Clinical Pathology Laboratories
",Analytical Chemistry Scientist,"Austin, TX",,False
1862,"


    Micron
","Senior Software Engineer, Storage SQA Job","Austin, TX",,False
1863,"


    NVIDIA
",Senior Machine Learning and Compiler Engineer,"Austin, TX",,False
1864,"

    Square Root
",Senior Developer (Remote),"Austin, TX",,False
1865,"

    Intersys:Big Data And Application Development
",Jr Data Scientist,"Austin, TX",,False
1866,"

    HireStarter
",Data Scientist (customer focused),"Austin, TX 78751 (Hyde Park area)",,False
1867,"

    Indeed",Data Engineer,"Austin, TX",,True
1868,"

    Indeed",Data Scientist,"Austin, TX",,True
1869,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1870,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1871,"


    University of Texas at Austin
",Engineering Scientist Associate - Underwater Robotics Algori...,"Austin, TX","[<nobr>$5,400 - $6,500 a month</nobr>]",False
1872,"


    Environmental Defense Fund
",Senior Data Analyst,"Austin, TX",,False
1873,"

    SmarterHQ
",Junior Back-End Developer,"Austin, TX",,False
1874,"


    University of Texas at Austin
",Research Engineering/ Scientist Associate III - Lab Manager,"Austin, TX","[<nobr>$3,519 a month</nobr>]",False
1875,"

    MaxPoint
",Senior Data Scientist,"Austin, TX 78759 (Arboretum area)",,False
1876,"


    HomeAway
",Sr. Hadoop Developer,"Austin, TX 78704 (South Lamar-South Congress area)",,False
1877,"


    RetailMeNot, Inc.
",Sr. Data Scientist,"Austin, TX",,False
1878,"

    Saxon Global Inc.
",Big Data Architect,"Austin, TX",,False
1879,"

    MaxPoint
",Senior Data Scientist - Signal Processing,"Austin, TX 78759 (Arboretum area)",,False
1880,"


    CLEAResult
","Vice President, Advanced Analytics","Austin, TX",,False
1881,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1882,"

    Indeed",Data Engineer,"Austin, TX",,True
1883,"

    Indeed",Data Scientist,"Austin, TX",,True
1884,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1885,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1886,"


    KPMG
","Manager - Data Scientist, Big Data","Austin, TX 78701 (Downtown area)",,False
1887,"

    Asuragen
",Research Scientist,"Austin, TX",,False
1888,"


    Spiceworks
","Director, Marketing Sciences & Advanced Analytics","Austin, TX",,False
1889,"

    Infovision Consultants Inc
",Senior Data Scientist,"Austin, TX 78716",,False
1890,"


    Dimensional Fund Advisors
","Analyst, Research","Austin, TX",,False
1891,"


    Texas Department of Public Safety
","Statistician III-IV, HSOC, THP-Austin","Austin, TX","[<nobr>$3,763 - $5,665 a month</nobr>]",False
1892,"


    Precision For Value
","Research Scientist, Advanced Modeling","Austin, TX",,False
1893,"

    Clinical Pathology Laboratories
",Quality Improvement Director,"Austin, TX",,False
1894,"

    Signature Science, LLC
",Bioinformatics Specialist,"Austin, TX 78759 (Arboretum area)",,False
1895,"


    RetailMeNot, Inc.
","Sr. Product Manager, Data","Austin, TX",,False
1896,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1897,"

    Indeed",Data Engineer,"Austin, TX",,True
1898,"

    Indeed",Data Scientist,"Austin, TX",,True
1899,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1900,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1901,"

    MaxPoint
",Senior Data Scientist - Econometrics,"Austin, TX 78759 (Arboretum area)",,False
1902,"


    NVIDIA
",Research Scientist for Computer Vision / Machine Learning,"Austin, TX",,False
1903,"


    Alcatel-Lucent
",Software Developer Co-op,"Austin, TX",,False
1904,"

    Ocean Conservancy
","Conservation Biologist, Gulf Restoration Program","Austin, TX 78701 (Downtown area)",,False
1905,"


    CDK Global
",Business Security Officer,"Austin, TX",,False
1906,"


    Express Scripts
",Senior Quantitative UX Researcher,"Austin, TX",,False
1907,"

    Signature Science
",Bioinformatics Specialist,"Austin, TX",,False
1908,"

    The University of Texas System
",Institutional Research Analyst,"Austin, TX","[<nobr>$4,459 a month</nobr>]",False
1909,"


    Thermo Fisher Scientific
",Application Scientist,"Austin, TX",,False
1910,"

    Emoters Robotics
","Robotics software engineer (involves machine learning, AI, a...","Austin, TX","[<nobr>$70,000 - $100,000 a year</nobr>]",False
1911,"

    Indeed",Data Engineer,"Austin, TX",,True
1912,"

    Main Street Hub",Data Scientist,"Austin, TX",,True
1913,"

    Indeed",Data Scientist,"Austin, TX",,True
1914,"

    RetailMeNot, Inc.",Sr. Data Scientist,"Austin, TX",,True
1915,"
    Sense Corp",Data Scientist,"Austin, TX",,True
1916,"


    Gartner, Inc.
","Content Marketing Analyst, Gartner Research","Austin, TX",,False
1917,"

    MaxPoint
",Senior Data Scientist - Machine Learning,"Austin, TX 78759 (Arboretum area)",,False
1918,"


    The Jag Group
",Senior Data Scientist - Machine Learning,"Austin, TX 73301 (St Edwards area)",,False
1919,"


    Natera
",Clinical Data Reporter,"Austin, TX 78731",,False
1920,"

    TEL Technology Center, America, Inc.
",Scientist,"Austin, TX",,False
1921,"

    Zilliant
",Senior Software Engineer – Science Team,"Austin, TX 78704 (South Lamar-South Congress area)",,False
1922,"

    Galvanize
","Associate Instructor, Data Scientist","Austin, TX",,False
1923,"


    Indeed
",Data Scientist,"Austin, TX 78759 (Arboretum area)",,False
